City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
574,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
576,Itarema,BR,77.09,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
577,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
580,Katobu,ID,77.18,broken clouds,-4.9408,122.5276,La Ode Husein
584,Hambantota,LK,76.46,clear sky,6.1241,81.1185,Bungalow 63
587,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
591,Bubaque,GW,77.18,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
593,Aguas Belas,BR,76.69,overcast clouds,-9.1114,-37.1231,Hotel Sertão
594,Nathdwara,IN,76.96,clear sky,24.9333,73.8167,Hotel Sudarshan
595,Sao Joao Da Barra,BR,78.03,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
596,Honiara,SB,77.31,overcast clouds,-9.4333,159.95,Heritage Park Hotel
597,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
598,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
599,Waingapu,ID,78.98,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
600,Guerrero,MX,85.26,scattered clouds,17.6667,-100.0,Villaxochilt
602,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
612,Iranshahr,IR,75.07,clear sky,27.2025,60.6848,نیک سرشت
618,Vila Velha,BR,79.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
619,Meadow Lake,US,77.86,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
620,Jucurutu,BR,78.08,overcast clouds,-6.0339,-37.0203,Pousada Miike
621,Dong Hoi,VN,77.67,clear sky,17.4833,106.6,Nam Long Hotel
625,Rowlett,US,86.99,clear sky,32.9029,-96.5639,Chiesa Estates
632,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
633,Dabola,GN,87.75,broken clouds,10.75,-11.1167,Hotel Tinkisso
639,Port Moresby,PG,81.41,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
641,Katubao,PH,80.38,overcast clouds,5.8892,124.8294,IML Ecopark
645,Nong Bua,TH,83.89,few clouds,15.8646,100.5858,ลภัสรดารีสอร์ท
646,Maceio,BR,79.18,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
651,Yarada,IN,80.13,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
653,Dwarka,IN,78.44,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
654,Maihar,IN,75.15,clear sky,24.2667,80.75,Mrig Van Resort
657,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
659,Kathu,TH,86.76,clear sky,7.9178,98.3332,Novotel Phuket Resort
662,Alofi,NU,80.01,moderate rain,-19.0595,-169.9187,Taloa Heights
671,Novo Aripuana,BR,75.99,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
676,Quatre Cocos,MU,79.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
680,Chauk,MM,78.57,broken clouds,20.8833,94.8167,Bo Khin Guest House
685,Yenangyaung,MM,77.14,broken clouds,20.4667,94.8833,Hotel Country
686,Bambanglipuro,ID,75.97,overcast clouds,-7.95,110.2833,Puri Brata
687,Sambava,MG,77.83,clear sky,-14.2667,50.1667,Melrose
688,Kirakira,SB,83.46,overcast clouds,-10.4544,161.9205,SanBiz Lodge
691,Kendrapara,IN,76.41,few clouds,20.5042,86.416,Hotel Mayuri Palace
