City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Biak,ID,2022-03-26 21:45:11,-0.9131,122.8766,75.92,81,91,2.39
113,Albany,US,2022-03-26 21:36:37,42.6001,-73.9662,48.02,80,96,1.01
114,Kununurra,AU,2022-03-26 21:45:12,-15.7667,128.7333,75.18,94,78,0.0
115,Sao Bernardo,BR,2022-03-26 21:45:12,-3.3614,-42.4178,75.24,96,100,4.85
116,Yellowknife,CA,2022-03-26 21:37:40,62.456,-114.3525,5.52,43,75,13.8
117,Vostok,RU,2022-03-26 21:45:13,46.4856,135.8833,25.63,96,100,5.46
118,San Cristobal,VE,2022-03-26 21:41:32,7.7669,-72.225,84.38,58,100,5.21
119,Ust-Nera,RU,2022-03-26 21:45:13,64.5667,143.2,-2.87,98,99,3.76
120,Severo-Kurilsk,RU,2022-03-26 21:40:31,50.6789,156.125,32.0,91,100,16.2
121,Constitucion,CL,2022-03-26 21:45:14,-35.3333,-72.4167,58.62,74,61,10.83
122,Olean,US,2022-03-26 21:45:14,42.0776,-78.4297,41.68,80,100,10.36
123,Dunedin,NZ,2022-03-26 21:45:15,-45.8742,170.5036,62.8,70,55,1.01
124,Eyl,SO,2022-03-26 21:45:15,7.9803,49.8164,76.35,66,2,13.18
125,Cherskiy,RU,2022-03-26 21:41:38,68.75,161.3,-6.61,95,100,6.8
126,Vaitape,PF,2022-03-26 21:45:16,-16.5167,-151.75,82.04,72,33,13.2
127,Araouane,ML,2022-03-26 21:45:16,18.9048,-3.5265,84.25,21,26,6.71
128,Narsaq,GL,2022-03-26 21:45:17,60.9167,-46.05,28.62,80,19,0.45
129,Porto Novo,BJ,2022-03-26 21:45:17,6.4965,2.6036,84.02,81,93,9.31
130,Nampula,MZ,2022-03-26 21:41:54,-15.1165,39.2666,76.95,94,40,8.05
131,Arraial Do Cabo,BR,2022-03-26 21:37:47,-22.9661,-42.0278,80.56,78,0,11.5
132,Kavieng,PG,2022-03-26 21:39:04,-2.5744,150.7967,82.76,71,100,3.58
133,Safaga,EG,2022-03-26 21:45:18,26.7292,33.9365,64.11,36,0,19.04
134,Taoudenni,ML,2022-03-26 21:45:18,22.6783,-3.9836,84.7,13,28,8.32
135,Kaitangata,NZ,2022-03-26 21:45:19,-46.2817,169.8464,56.93,77,26,1.72
136,Bluff,NZ,2022-03-26 21:37:36,-46.6,168.3333,56.41,78,55,2.3
137,Naisud,PH,2022-03-26 21:45:19,11.8058,122.1939,78.04,85,100,8.72
138,Asosa,ET,2022-03-26 21:45:20,10.0667,34.5333,69.58,26,47,3.8
139,Coquimbo,CL,2022-03-26 21:42:07,-29.9533,-71.3436,65.93,68,0,13.8
140,Belyy Yar,RU,2022-03-26 21:46:20,53.6039,91.3903,21.85,63,0,6.71
141,Bambous Virieux,MU,2022-03-26 21:46:21,-20.3428,57.7575,80.22,89,40,3.44
142,Castro,BR,2022-03-26 21:39:17,-24.7911,-50.0119,65.5,92,97,4.38
143,Muisne,EC,2022-03-26 21:46:21,0.6,-80.0333,79.48,80,97,6.71
144,Gambo,CF,2022-03-26 21:46:21,4.6482,22.2633,72.48,44,100,0.94
145,Mont-Dore,NC,2022-03-26 21:42:37,-22.2833,166.5833,80.01,99,85,7.7
146,Ormara,PK,2022-03-26 21:46:22,25.2088,64.6357,77.86,62,0,10.78
147,Caborca,MX,2022-03-26 21:46:23,30.5838,-111.101,89.89,5,88,11.65
148,Kodinsk,RU,2022-03-26 21:46:23,58.6881,99.1844,14.16,88,95,14.54
149,Axim,GH,2022-03-26 21:46:24,4.8699,-2.2405,80.6,83,88,2.42
150,Provideniya,RU,2022-03-26 21:46:24,64.3833,-173.3,20.25,85,100,0.72
151,Half Moon Bay,US,2022-03-26 21:46:25,37.4636,-122.4286,74.41,69,0,13.8
152,Ust-Kulom,RU,2022-03-26 21:46:25,61.6864,53.6902,30.34,97,100,11.16
153,Shitanjing,CN,2022-03-26 21:46:25,39.2342,106.3439,29.62,20,93,5.14
154,Antalaha,MG,2022-03-26 21:46:26,-14.9003,50.2788,75.97,91,10,4.85
155,Byron Bay,AU,2022-03-26 21:46:26,-28.65,153.6167,66.94,93,95,4.12
156,Valenca,BR,2022-03-26 21:43:46,-13.3703,-39.0731,75.29,88,12,3.11
157,Huarmey,PE,2022-03-26 21:46:27,-10.0681,-78.1522,74.16,74,75,9.55
158,Hofn,IS,2022-03-26 21:46:28,64.2539,-15.2082,44.89,96,100,10.71
159,Baykit,RU,2022-03-26 21:46:28,61.67,96.37,12.43,93,100,11.54
160,Talagang,PK,2022-03-26 21:46:28,32.9297,72.4158,70.43,20,0,4.99
161,Dhidhdhoo,MV,2022-03-26 21:46:29,6.8833,73.1,81.34,69,2,3.36
162,Areka,ET,2022-03-26 21:46:29,7.0667,37.7,63.14,68,39,4.07
163,Husavik,IS,2022-03-26 21:46:29,66.0449,-17.3389,41.54,86,100,13.22
164,Lamu,KE,2022-03-26 21:46:30,-2.2717,40.902,80.01,89,23,10.36
165,Namatanai,PG,2022-03-26 21:46:30,-3.6667,152.4333,81.79,76,96,1.39
166,Wadi Maliz,TN,2022-03-26 21:46:30,36.4681,8.5495,53.26,87,0,2.1
167,Montlucon,FR,2022-03-26 21:46:31,46.3333,2.6,45.7,77,13,1.34
168,Lata,PT,2022-03-26 21:46:31,40.1629,-8.3327,56.07,79,50,6.24
169,Avera,US,2022-03-26 21:46:31,33.194,-82.5271,67.51,32,0,17.34
170,Camacha,PT,2022-03-26 21:46:32,33.0833,-16.3333,60.22,77,20,18.41
171,Adeje,ES,2022-03-26 21:46:32,28.1227,-16.726,64.02,69,75,12.66
172,Luau,AO,2022-03-26 21:46:33,-10.7073,22.2247,65.66,95,99,1.5
173,Port Blair,IN,2022-03-26 21:41:44,11.6667,92.75,78.84,94,20,2.3
174,Peshkopi,AL,2022-03-26 21:46:33,41.685,20.4289,44.49,66,1,3.71
175,Taman,RU,2022-03-26 21:46:33,45.2117,36.7161,43.93,84,10,22.95
176,Clyde River,CA,2022-03-26 21:37:33,70.4692,-68.5914,-1.97,84,100,8.05
177,Kallithea,GR,2022-03-26 21:46:34,37.95,23.7,56.46,67,0,3.44
178,Bacolod,PH,2022-03-26 21:46:34,10.6667,122.95,78.4,80,89,9.17
179,Reinosa,ES,2022-03-26 21:46:35,42.9996,-4.138,45.23,82,47,5.08
180,Katobu,ID,2022-03-26 21:46:35,-4.9408,122.5276,74.91,94,73,0.13
181,Mahebourg,MU,2022-03-26 21:41:33,-20.4081,57.7,80.26,89,40,3.44
182,Saint George,US,2022-03-26 21:45:00,37.1041,-113.5841,86.95,12,0,5.75
183,Sorland,NO,2022-03-26 21:46:36,67.667,12.6934,31.59,66,100,6.96
184,Copiapo,CL,2022-03-26 21:44:44,-27.3667,-70.3333,64.09,41,0,5.97
185,Hamilton,US,2022-03-26 21:42:47,39.1834,-84.5333,38.25,69,100,17.27
186,Chuy,UY,2022-03-26 21:40:25,-33.6971,-53.4616,67.14,72,47,12.93
187,Torbay,CA,2022-03-26 21:35:33,47.6666,-52.7314,39.76,96,100,9.22
188,Ordynskoye,RU,2022-03-26 21:47:37,54.3656,81.8994,3.76,98,100,5.86
189,Seoul,KR,2022-03-26 21:44:55,37.5683,126.9778,40.57,81,0,4.61
190,Leeston,NZ,2022-03-26 21:47:37,-43.7667,172.3,62.96,71,55,3.18
191,Vardo,NO,2022-03-26 21:47:39,70.3705,31.1107,27.14,58,100,27.81
192,Pevek,RU,2022-03-26 21:40:29,69.7008,170.3133,-1.01,95,99,8.84
193,Mar Del Plata,AR,2022-03-26 21:47:39,-38.0023,-57.5575,62.62,95,100,15.01
194,Taklisah,TN,2022-03-26 21:47:40,36.7833,10.6333,57.94,78,83,24.54
195,Tibiao,PH,2022-03-26 21:47:40,11.2915,122.0354,79.72,77,76,5.73
196,Shimoda,JP,2022-03-26 21:47:40,34.6667,138.95,60.1,89,81,13.49
197,Carnarvon,AU,2022-03-26 21:41:34,-24.8667,113.6333,73.47,73,40,3.44
198,Tiksi,RU,2022-03-26 21:47:41,71.6872,128.8694,-14.1,100,98,3.13
199,Nome,US,2022-03-26 21:47:41,64.5011,-165.4064,21.16,85,0,0.0
200,Buchanan,LR,2022-03-26 21:47:42,5.8808,-10.0467,78.71,89,99,5.39
201,Krasnystaw,PL,2022-03-26 21:47:42,50.9846,23.1742,39.4,53,9,16.93
202,Grand Bank,CA,2022-03-26 21:47:42,47.0999,-55.765,37.4,93,84,15.88
203,Kabarnet,KE,2022-03-26 21:47:43,0.4919,35.743,59.45,79,79,0.74
204,Fonte Boa,BR,2022-03-26 21:47:43,-2.4959,-66.2662,78.17,97,100,1.12
205,Bengkulu,ID,2022-03-26 21:39:10,-3.8004,102.2655,74.95,88,77,6.62
206,Mehamn,NO,2022-03-26 21:39:17,71.0357,27.8492,23.49,70,100,22.68
207,Mahibadhoo,MV,2022-03-26 21:41:40,3.7833,72.9667,81.25,65,18,4.27
208,Souillac,MU,2022-03-26 21:47:44,-20.5167,57.5167,79.18,89,40,3.44
209,Denpasar,ID,2022-03-26 21:42:51,-8.65,115.2167,76.71,100,40,5.75
210,Miandrivazo,MG,2022-03-26 21:47:44,-19.5167,45.4667,77.11,93,27,3.06
211,Gweta,BW,2022-03-26 21:47:45,-20.1833,25.2333,77.16,62,77,11.77
212,Norman Wells,CA,2022-03-26 21:47:44,65.282,-126.8329,6.84,47,20,11.5
213,Hobyo,SO,2022-03-26 21:47:45,5.3505,48.5268,80.15,65,16,12.86
214,Samarai,PG,2022-03-26 21:47:45,-10.6167,150.6667,83.25,73,100,5.28
215,Port Lincoln,AU,2022-03-26 21:47:46,-34.7333,135.8667,65.79,63,94,6.8
216,Beringovskiy,RU,2022-03-26 21:47:46,63.05,179.3167,7.48,94,95,3.85
217,Banda Aceh,ID,2022-03-26 21:47:47,5.5577,95.3222,79.63,82,19,6.31
218,Cidreira,BR,2022-03-26 21:47:39,-30.1811,-50.2056,69.62,72,75,9.28
219,Russell,US,2022-03-26 21:45:26,32.3502,-85.1999,70.88,19,0,17.27
220,Esperance,AU,2022-03-26 21:47:47,-33.8667,121.9,66.04,92,100,10.09
221,Ouesso,CG,2022-03-26 21:47:47,1.6136,16.0517,75.0,70,68,2.86
222,Wexford,IE,2022-03-26 21:47:48,52.3342,-6.4575,49.21,89,1,8.7
223,Gigmoto,PH,2022-03-26 21:47:48,13.7796,124.39,79.65,81,70,8.55
224,Xining,CN,2022-03-26 21:44:57,36.6167,101.7667,30.47,60,78,1.92
225,Parabel,RU,2022-03-26 21:47:49,58.6978,81.4825,6.87,95,8,7.56
226,Yetkul,RU,2022-03-26 21:47:49,54.8221,61.588,-5.35,100,98,4.09
227,Vagur,FO,2022-03-26 21:47:49,61.4732,-6.8119,47.28,89,100,23.58
228,Necochea,AR,2022-03-26 21:47:50,-38.5473,-58.7368,62.44,87,100,16.17
229,Olinda,BR,2022-03-26 21:46:12,-8.0089,-34.8553,80.33,89,40,5.75
230,Umm Kaddadah,SD,2022-03-26 21:48:50,13.6017,26.6876,66.18,12,89,17.34
231,Fairbanks,US,2022-03-26 21:46:01,64.8378,-147.7164,35.98,58,0,3.44
232,Tupik,RU,2022-03-26 21:48:51,54.4253,119.9327,11.26,100,95,2.46
233,Thompson,CA,2022-03-26 21:48:51,55.7435,-97.8558,3.36,43,0,11.5
234,Clyde,US,2022-03-26 21:48:51,41.3042,-82.9752,35.56,75,100,18.97
235,Ewo,CG,2022-03-26 21:48:52,-0.8725,14.8206,74.77,83,99,3.11
236,Arvika,SE,2022-03-26 21:48:52,59.6553,12.5852,29.01,65,100,2.15
237,Lakhisarai,IN,2022-03-26 21:48:52,25.1768,86.0932,73.08,12,0,5.19
238,Tessalit,ML,2022-03-26 21:48:53,20.1986,1.0114,86.38,11,93,15.73
239,Ko Samui,TH,2022-03-26 21:48:53,9.5357,99.9357,83.88,69,5,1.95
240,Chicama,PE,2022-03-26 21:48:53,-7.8447,-79.1469,68.54,65,93,8.41
241,Ariquemes,BR,2022-03-26 21:48:54,-9.9133,-63.0408,77.77,96,99,2.66
242,Cajaruro,PE,2022-03-26 21:48:54,-5.7364,-78.4256,81.32,73,93,2.98
243,Togul,RU,2022-03-26 21:48:54,53.465,85.9128,5.34,97,97,5.12
244,Waipawa,NZ,2022-03-26 21:48:55,-41.4122,175.5153,56.53,82,92,12.48
245,Alvorada,BR,2022-03-26 21:48:55,-12.48,-49.1247,77.77,78,44,3.94
246,Gelemso,ET,2022-03-26 21:48:56,8.8167,40.5167,61.41,79,98,4.29
247,Allapalli,IN,2022-03-26 21:48:56,19.4167,80.0667,82.38,39,32,1.23
248,Gouyave,GD,2022-03-26 21:48:56,12.1646,-61.7296,81.37,69,20,17.27
249,Taltal,CL,2022-03-26 21:45:27,-25.4,-70.4833,67.68,72,23,6.04
250,Pontes E Lacerda,BR,2022-03-26 21:48:57,-15.2261,-59.3353,74.98,89,99,3.44
251,Zaraza,VE,2022-03-26 21:48:57,9.3503,-65.3245,86.63,50,99,10.94
252,Lebu,CL,2022-03-26 21:48:57,-37.6167,-73.65,59.99,73,68,4.56
253,Malgrat De Mar,ES,2022-03-26 21:48:58,41.6466,2.7414,57.2,85,99,12.71
254,Acolla,PE,2022-03-26 21:48:58,-11.7319,-75.5463,55.63,70,100,1.59
255,Santa Maria,BR,2022-03-26 21:44:53,-29.6842,-53.8069,69.1,73,75,5.75
256,Saint John,CA,2022-03-26 21:48:59,45.2727,-66.0677,47.43,82,40,10.36
257,Jutai,BR,2022-03-26 21:48:59,-5.1833,-68.9,77.05,96,100,1.01
258,Bahraich,IN,2022-03-26 21:48:59,27.5833,81.6,68.95,17,0,7.4
259,Narasaraopet,IN,2022-03-26 21:49:00,16.25,80.0667,76.37,92,54,5.21
260,Dinguiraye,GN,2022-03-26 21:49:00,11.3,-10.7167,87.58,18,90,2.57
261,Paracuru,BR,2022-03-26 21:49:00,-3.41,-39.0306,80.11,89,100,8.37
262,Portland,US,2022-03-26 21:48:22,45.5234,-122.6762,68.05,67,100,10.36
263,Barcelos,PT,2022-03-26 21:49:01,41.5388,-8.6151,61.92,71,100,4.45
264,Areosa,PT,2022-03-26 21:49:01,41.7178,-8.8571,58.35,74,100,6.67
265,Opuwo,NA,2022-03-26 21:49:02,-18.0607,13.84,68.04,46,2,4.79
266,Alekseyevsk,RU,2022-03-26 21:49:02,57.8406,108.3492,24.44,94,100,13.71
267,Asfi,MA,2022-03-26 21:49:03,32.2994,-9.2372,58.96,84,39,8.57
268,Oyek,RU,2022-03-26 21:49:03,52.5861,104.4556,23.38,90,55,1.99
269,Tsabong,BW,2022-03-26 21:49:03,-26.0217,22.401,74.86,46,3,7.87
270,Oskarshamn,SE,2022-03-26 21:49:04,57.2645,16.4484,36.05,74,89,3.98
271,Emerald,AU,2022-03-26 21:49:05,-23.5333,148.1667,68.14,100,100,5.75
272,Bagotville,AU,2022-03-26 21:49:05,-28.9833,153.4167,66.85,99,98,4.14
273,Balykshi,KZ,2022-03-26 21:50:05,47.0667,51.8667,32.0,93,88,11.18
274,Muzhi,RU,2022-03-26 21:50:06,65.3667,64.6667,-7.06,99,96,5.61
275,Kollam,IN,2022-03-26 21:50:07,8.8833,76.6,78.51,85,42,2.17
276,Acajutla,SV,2022-03-26 21:50:07,13.5928,-89.8275,85.95,53,86,8.86
277,Terra Santa,BR,2022-03-26 21:50:07,-2.1042,-56.4869,78.15,92,51,2.91
278,Vibo Valentia,IT,2022-03-26 21:50:08,38.6996,16.1274,50.59,61,100,9.15
279,Yanai,JP,2022-03-26 21:50:08,33.9667,132.1167,51.8,87,93,5.08
280,Wasilla,US,2022-03-26 21:50:09,61.5814,-149.4394,43.36,47,0,14.97
281,Svetlogorsk,BY,2022-03-26 21:50:09,52.6333,29.7333,33.1,69,31,20.6
282,Korla,CN,2022-03-26 21:50:09,41.7597,86.1469,43.9,52,80,0.11
283,Cajuru,BR,2022-03-26 21:50:10,-21.2753,-47.3042,73.18,78,96,0.83
284,Guanica,PR,2022-03-26 21:50:10,17.9716,-66.908,81.99,75,22,8.88
285,Madimba,TZ,2022-03-26 21:50:11,-10.4,40.3333,79.92,89,20,11.5
286,Waingapu,ID,2022-03-26 21:50:11,-9.6567,120.2641,77.49,84,87,3.65
287,Havre-Saint-Pierre,CA,2022-03-26 21:50:11,50.2334,-63.5986,32.36,93,100,12.66
288,Flin Flon,CA,2022-03-26 21:50:12,54.7682,-101.865,6.64,33,0,5.75
289,Berlevag,NO,2022-03-26 21:50:12,70.8578,29.0864,22.8,64,100,24.2
290,Palmer,US,2022-03-26 21:48:45,42.1584,-72.3287,45.86,81,100,9.22
291,Dwarka,IN,2022-03-26 21:50:13,22.2394,68.9678,78.62,68,1,11.74
292,Luganville,VU,2022-03-26 21:50:13,-15.5333,167.1667,83.32,77,94,1.19
293,Varhaug,NO,2022-03-26 21:50:14,58.6147,5.6457,41.9,83,96,12.24
